ls_vitz;ls_energo
514002297;140101034
514002899;140135045
514002970;140802036
519000460;190211077
519000787;190309004
519001165;190503002
519001181;190503011
519001301;190503069
519001644;190602131
519001814;190703092
519001830;190703153
519001856;190703180
519001880;190703221
521000141;210105920
521000400;210302170
521000515;210501022
513001963;130610111
513001971;130610112
513002286;130804042
513002294;130804048
513002448;130805128
513002634;130905222
513002773;131006075
513002799;131106121
513003177;131409109
513003232;131409143
513003240;131409145
513003606;130610098
514003015;140802015
514003138;140903080
514003146;140903081
514099715;21460
515000361;154046372
515000450;155053100
515000824;156037037
515000874;156037167
515000905;152271026
516000097;160210021
516000225;160210093
516000576;160310060
516000754;160417158
521001820;210301741
522000704;220100346
522001158;220113171
522001205;220114046
522001289;220170091
522002235;220215045
522002390;220402126
522002536;220402352
522002706;220402392
522003639;220701142
522003744;220701182
522004091;220701319
522004342;220701415
513001206;130516002
513001361;130516076
513002367;130805021
513002896;131110149
513003389;130110025
513004296;130608122
513004319;130403057
513005234;130309179
513005519;130420051
513005713;130110044
513005886;130908095
514000033;140101058
514000122;140102021
513003834;131210151
513003981;131503013
513004050;130517186
513004432;130420078
513005470;130805030
513005959;130110106
513006028;131503061
513006086;130110113
513006214;130140394
513006264;130501045
513006565;131501014
514000148;140102088
514000295;140108056
514000978;140701011
514001160;140901133
514001225;140901176
514001330;140903011
515000214;152160001
515000272;153007055
515000515;155053164
515000832;156037144
515000890;156219110
515001008;152271039
515001074;152271066
515001252;151073074
522004562;220701508
522004790;220701578
522005178;220801460
522006409;226010225
522006645;226010416
522006988;226100827
522007146;229000077
522007748;229000930
522007803;220211008
522008168;229000024
522008396;229000719
522009203;229000798
522093309;229000729
511013689;110106166
511013906;110407120
511014017;111116081
511014627;111907002
511014813;110904133
511015071;110106123
511015102;111407059
511015461;110106104
511015550;111910672
511015885;110203201
511017578;110203014
511017803;111406036
511018419;111910425
516000136;160210069
516000217;160210090
516000801;160505073
516000924;160509021
516001019;160509073
516001035;160509080
516001116;160610142
516001920;160509124
516002065;160505056
516003003;160710190
517004971;190062007
517007050;190062021
517008349;190061970
513003486;131006089
513003664;131503094
513003761;130516006
513004068;130516101
513005551;131503040
513005789;130805118
513006060;130740039
513006230;131409112
513006311;131210128
513006434;131409076
514000017;140101014
514000211;140105077
514000229;140105139
511018532;111104307
511018697;110905353
511018702;110106025
511018972;111105002
511019596;110410295
511021315;111909006
511021420;110903072
511021690;111910489
511022060;111101047
511022117;110905437
511022507;111905507
511022523;110920463
511022662;111104157
517010370;196612
518000140;180204010
518000239;180209146
518000433;200102017
518000611;180303404
519000101;190109073
519000224;190211011
519000232;190211015
519000258;190211023
519000274;190211026
519000389;190211048
519000541;190211172
519000583;190211182
523000189;112901051
523000294;230103064
523000325;230103175
523000480;230110142
523000846;230212045
523001012;231901162
523001070;231901243
523001185;231901297
523001517;231906238
523001761;112901005
523001884;230211112
523001892;230211056
523001923;230211048
516000762;160505064
516001734;160310105
516001881;160108012
516002099;160310079
516002641;160405011
516002853;160405105
517006729;190062004
517007296;190061975
517007686;190061997
518000051;180105303
518000360;180308103
518000564;200205109
518099953;180204103
514000300;140108060
514000651;140134014
514001005;140702006
514001178;140901139
514001453;140908032
514001576;141109160
514001631;141201019
514001916;140103106
514002386;140101080
514002873;140101099
514010436;140103165
515000028;151073097
515000379;154046384
515000387;154072062
514000253;140108013
514000326;140108083
514000669;140134066
514000790;140602156
514000863;140604062
514001487;140908069
514001615;141110141
514001623;141110202
514002483;140105132
515000052;151118156
515000418;155027056
515000696;156003063
515000858;156037153
511011409;111905492
511011506;111905540
511011792;111908056
511011807;111908073
511012138;111910215
511012154;111910278
511012170;111910280
511012366;111910464
511012374;111910483
511013061;111405041
511013346;111910498
511013752;111909066
514000415;140109101
